model,data,size,train_ratio,noise_add,noise_rm,avg_acc,std_acc,avg_time
deg_gine_sgm,ppi,5,0.2,0.0,0.0,0.9967032967032967,0.001098901098901095,13.712316846847534
deg_gine_sgm,ppi,5,0.2,0.05,0.0,0.8177197802197801,0.017307692307692312,14.01355996131897
deg_gine_sgm,ppi,5,0.2,0.1,0.0,0.4188186813186814,0.05360734214628525,14.349992895126343
deg_gine_sgm,ppi,5,0.2,0.2,0.0,0.03873626373626374,0.009853794744209313,14.883022928237915
deg_gine_sgm,ppi,5,0.2,0.25,0.0,0.031456043956043955,0.005946390335690483,15.171713542938232
deg_gine_sgm,ppi,5,0.2,0.0,0.0,0.9954670329670329,0.0012738486944362183,13.784066724777222
deg_gine_sgm,ppi,5,0.2,0.0,0.05,0.4989010989010989,0.05897738059057836,13.545722007751465
deg_gine_sgm,ppi,5,0.2,0.0,0.1,0.17087912087912088,0.018831210235342438,13.238180685043336
deg_gine_sgm,ppi,5,0.2,0.0,0.2,0.023626373626373626,0.005095394777744892,12.750046730041504
deg_gine_sgm,ppi,5,0.2,0.0,0.25,0.015247252747252745,0.004666287843808525,12.48001184463501
deg_gine_sgm,ppi,5,0.8,0.0,0.0,0.9956043956043956,0.00219780219780219,20.51374840736389
deg_gine_sgm,ppi,5,0.8,0.05,0.0,0.8895604395604396,0.02123752537372271,20.6616473197937
deg_gine_sgm,ppi,5,0.8,0.1,0.0,0.5109890109890111,0.052471808291487135,20.94026384353638
deg_gine_sgm,ppi,5,0.8,0.2,0.0,0.06978021978021978,0.0197037594253199,21.53639578819275
deg_gine_sgm,ppi,5,0.8,0.25,0.0,0.025824175824175823,0.015206980772635215,21.787341403961182
deg_gine_sgm,ppi,5,0.8,0.0,0.0,0.9967032967032967,0.0032038197224424614,20.36648759841919
deg_gine_sgm,ppi,5,0.8,0.0,0.05,0.5401098901098901,0.1285479456341957,20.1656409740448
deg_gine_sgm,ppi,5,0.8,0.0,0.1,0.13901098901098902,0.029260498803723837,19.88971848487854
deg_gine_sgm,ppi,5,0.8,0.0,0.2,0.02912087912087912,0.004111711414037298,19.32299671173096
deg_gine_sgm,ppi,5,0.8,0.0,0.25,0.018131868131868133,0.006167567121055948,19.044192218780516
