model,data,size,train_ratio,noise_add,noise_rm,avg_acc,std_acc,avg_time
pe_gine_sgm,ppi,5,0.2,0.0,0.0,0.706456043956044,0.04938296663865522,76.93219718933105
pe_gine_sgm,ppi,5,0.2,0.05,0.0,0.30851648351648353,0.0421826323465258,86.12176570892333
pe_gine_sgm,ppi,5,0.2,0.1,0.0,0.1381868131868132,0.028422450778351194,78.11030421257018
pe_gine_sgm,ppi,5,0.2,0.2,0.0,0.030082417582417587,0.006492473790162899,81.95259885787964
pe_gine_sgm,ppi,5,0.2,0.25,0.0,0.015247252747252745,0.009350754079734897,83.47051401138306
pe_gine_sgm,ppi,5,0.2,0.0,0.05,0.6160714285714286,0.034425718832518395,73.10171999931336
pe_gine_sgm,ppi,5,0.2,0.0,0.1,0.49835164835164836,0.060537196362739965,71.44725880622863
pe_gine_sgm,ppi,5,0.2,0.0,0.2,0.30054945054945054,0.02707333602435247,80.82577571868896
pe_gine_sgm,ppi,5,0.2,0.0,0.25,0.24148351648351646,0.00970911925663312,108.27868556976318
pe_gine_sgm,ppi,5,0.8,0.0,0.0,0.8576923076923076,0.05745371910843872,81.09313840866089
pe_gine_sgm,ppi,5,0.8,0.05,0.0,0.4087912087912088,0.12133281491170979,111.77360515594482
pe_gine_sgm,ppi,5,0.8,0.1,0.0,0.17307692307692307,0.0711320981656363,110.89697442054748
pe_gine_sgm,ppi,5,0.8,0.2,0.0,0.03571428571428571,0.012408340429270567,110.91079983711242
pe_gine_sgm,ppi,5,0.8,0.25,0.0,0.008241758241758242,0.0038852020944315797,113.86762027740478
pe_gine_sgm,ppi,5,0.8,0.0,0.05,0.7357142857142857,0.08346224380982288,81.70895628929138
pe_gine_sgm,ppi,5,0.8,0.0,0.1,0.5994505494505494,0.1156642347115218,77.77788581848145
pe_gine_sgm,ppi,5,0.8,0.0,0.2,0.3401098901098901,0.0777312335455851,74.31512169837951
pe_gine_sgm,ppi,5,0.8,0.0,0.25,0.24505494505494507,0.07675413158503284,72.54002833366394
