model,data,size,train_ratio,noise_add,noise_rm,avg_acc,std_acc,avg_time
pe_mlp_sgm,ppi,5,0.2,0.0,0.0,0.4461538461538462,0.025154995917054047,64.43172092437744
pe_mlp_sgm,ppi,5,0.2,0.05,0.0,0.4085164835164835,0.028142248900318745,66.01473016738892
pe_mlp_sgm,ppi,5,0.2,0.1,0.0,0.3436813186813187,0.018478210682198067,63.22149028778076
pe_mlp_sgm,ppi,5,0.2,0.2,0.0,0.27101648351648355,0.010680773173787779,67.07491798400879
pe_mlp_sgm,ppi,5,0.2,0.25,0.0,0.26153846153846155,0.011035273499118101,67.91254591941833
pe_mlp_sgm,ppi,5,0.2,0.0,0.0,0.46524725274725276,0.03696203710476392,72.36043610572816
pe_mlp_sgm,ppi,5,0.2,0.0,0.05,0.41057692307692306,0.014520211897776624,70.73858327865601
pe_mlp_sgm,ppi,5,0.2,0.0,0.1,0.38489010989010985,0.029105324479448403,60.29550018310547
pe_mlp_sgm,ppi,5,0.2,0.0,0.2,0.28969780219780217,0.02605331472784559,51.84131202697754
pe_mlp_sgm,ppi,5,0.2,0.0,0.25,0.2677197802197802,0.01688163900630464,52.03094816207886
pe_mlp_sgm,ppi,5,0.8,0.0,0.0,0.6032967032967033,0.03349395748160036,71.41406049728394
pe_mlp_sgm,ppi,5,0.8,0.05,0.0,0.4791208791208791,0.023414588739189578,63.61572713851929
pe_mlp_sgm,ppi,5,0.8,0.1,0.0,0.4302197802197803,0.02638507077701751,61.45049157142639
pe_mlp_sgm,ppi,5,0.8,0.2,0.0,0.3587912087912088,0.02302453498874391,66.11181359291076
pe_mlp_sgm,ppi,5,0.8,0.25,0.0,0.3148351648351648,0.0185190104904975,65.97853035926819
pe_mlp_sgm,ppi,5,0.8,0.0,0.0,0.5906593406593407,0.013458734850457055,58.74551854133606
pe_mlp_sgm,ppi,5,0.8,0.0,0.05,0.5038461538461538,0.02436241678834654,57.39481310844421
pe_mlp_sgm,ppi,5,0.8,0.0,0.1,0.4686813186813187,0.04113913526886787,56.164280366897586
pe_mlp_sgm,ppi,5,0.8,0.0,0.2,0.3972527472527473,0.011206636293610519,53.820427370071414
pe_mlp_sgm,ppi,5,0.8,0.0,0.25,0.32857142857142857,0.01022037100974629,52.50279293060303
