model,data,size,train_ratio,noise_add,noise_rm,avg_acc,std_acc,avg_time
pe_mlp_sgm,ppi,5,0.2,0.0,0.0,0.8785714285714287,0.016313222900333563,512.3126575946808
pe_mlp_sgm,ppi,5,0.2,0.05,0.0,0.7663461538461538,0.018614538040093342,532.3983942508697
pe_mlp_sgm,ppi,5,0.2,0.1,0.0,0.660989010989011,0.03481702564443545,541.5467155456543
pe_mlp_sgm,ppi,5,0.2,0.2,0.0,0.48804945054945054,0.020870985980311594,567.4179770469666
pe_mlp_sgm,ppi,5,0.2,0.25,0.0,0.45480769230769236,0.014442033591539227,654.0226246356964
pe_mlp_sgm,ppi,5,0.2,0.0,0.0,0.8763736263736263,0.031664992953902245,516.3399139404297
pe_mlp_sgm,ppi,5,0.2,0.0,0.05,0.8428571428571429,0.016853673511493698,502.3867649555206
pe_mlp_sgm,ppi,5,0.2,0.0,0.1,0.7747252747252747,0.027414086191672175,489.7837373256683
pe_mlp_sgm,ppi,5,0.2,0.0,0.2,0.6424450549450549,0.025615830111956128,465.1164412498474
pe_mlp_sgm,ppi,5,0.2,0.0,0.25,0.5848901098901098,0.024769496473705736,452.220520067215
pe_mlp_sgm,ppi,5,0.8,0.0,0.0,0.9379120879120879,0.012359584482639577,522.9783348083496
pe_mlp_sgm,ppi,5,0.8,0.05,0.0,0.8225274725274725,0.025748075854637308,534.0725040435791
pe_mlp_sgm,ppi,5,0.8,0.1,0.0,0.7554945054945055,0.020337093981672265,548.7912583351135
pe_mlp_sgm,ppi,5,0.8,0.2,0.0,0.6021978021978022,0.01833881238272378,573.7881195545197
pe_mlp_sgm,ppi,5,0.8,0.25,0.0,0.5571428571428572,0.04731021294863572,585.8979914188385
pe_mlp_sgm,ppi,5,0.8,0.0,0.0,0.9423076923076923,0.010710763016273573,615.6189352989197

